+---------------------------------------------------------------------------------------+---------+------------+----------+---------------+----------------+----------------+-----------------+
|                                          name                                         |  coefs  | coef_expit | coef_exp | linreg_scores | linreg_pvalues | classif_scores | classif_pvalues |
|       med_family_income_vs_house_price_/_real_estate_loans_1yr_diff_ewma_trim_t       |  0.0018 |   0.5004   |  1.0018  |    29.3765    |      0.0       |     2.0117     |      0.514      |
|           capacity_util_chem_*_med_family_income_vs_house_price_ewma_trim_t           | -0.0014 |   0.4997   |  0.9986  |    27.8257    |      0.0       |     1.9895     |      0.5164     |
|             gdp_nom_1yr_diff_/_real_med_family_income_1yr_diff_ewma_trim_t            | -0.0024 |   0.4994   |  0.9976  |    29.9974    |      0.0       |     1.8624     |      0.5308     |
|       med_family_income_vs_house_price_*_empl_construction_1yr_diff_ewma_trim_t       |  0.0076 |   0.5019   |  1.0077  |    28.0731    |      0.0       |     1.7066     |      0.5502     |
|                 gdp_nom_1yr_diff_*_cpi_urb_nonvol_1yr_diff_ewma_trim_t                |  -0.003 |   0.4993   |  0.9971  |    28.5983    |      0.0       |     1.5645     |      0.5699     |
|                     tsy_10yr_yield_/_capacity_util_mfg_ewma_trim_t                    |  0.0136 |   0.5034   |  1.0137  |    20.9599    |     0.0001     |     1.5318     |      0.5747     |
|               capacity_util_chem_/_med_house_price_1yr_diff_ewma_trim_t               |  -0.008 |   0.498    |  0.992   |    25.7253    |      0.0       |     1.485      |      0.5819     |
|           empl_construction_1yr_diff_/_med_house_price_1yr_diff_ewma_trim_t           |  0.0012 |   0.5003   |  1.0012  |    26.0219    |      0.0       |     1.1331     |      0.6452     |
|            industrial_prod_1yr_diff_/_med_house_price_1yr_diff_ewma_trim_t            |  -0.007 |   0.4983   |  0.993   |    26.2672    |      0.0       |     0.9006     |      0.6998     |
|        med_family_income_vs_house_price_/_med_house_price_1yr_diff_ewma_trim_t        | -0.0028 |   0.4993   |  0.9972  |    29.4805    |      0.0       |     0.836      |      0.7175     |
|                capacity_util_mfg_*_med_house_price_1yr_diff_ewma_trim_t               |  0.0044 |   0.5011   |  1.0044  |    26.2392    |      0.0       |     0.6776     |      0.7664     |
|               capacity_util_chem_*_med_house_price_1yr_diff_ewma_trim_t               |  0.0023 |   0.5006   |  1.0023  |     27.891    |      0.0       |     0.5892     |      0.7977     |
|        med_family_income_vs_house_price_*_med_house_price_1yr_diff_ewma_trim_t        |  0.0081 |   0.502    |  1.0082  |    31.9798    |      0.0       |     0.4923     |      0.8359     |
|                gdp_nom_1yr_diff_/_med_house_price_1yr_diff_ewma_trim_t                | -0.0071 |   0.4982   |  0.9929  |    27.6299    |      0.0       |     0.4296     |      0.8628     |
|            industrial_prod_1yr_diff_*_med_house_price_1yr_diff_ewma_trim_t            |  0.0013 |   0.5003   |  1.0013  |    28.4868    |      0.0       |     0.4095     |      0.8717     |
|             cpi_urb_nonvol_1yr_diff_/_med_house_price_1yr_diff_ewma_trim_t            |  -0.003 |   0.4993   |  0.997   |    28.2962    |      0.0       |     0.3008     |      0.9221     |
|           empl_construction_1yr_diff_*_med_house_price_1yr_diff_ewma_trim_t           |  0.0089 |   0.5022   |  1.0089  |    28.2001    |      0.0       |     0.2951     |      0.9248     |
|                          med_house_price_1yr_diff_ewma_trim_t                         |  0.0062 |   0.5016   |  1.0063  |     30.841    |      0.0       |     0.2496     |      0.9459     |
|                gdp_nom_1yr_diff_*_med_house_price_1yr_diff_ewma_trim_t                |  0.0008 |   0.5002   |  1.0008  |    29.9627    |      0.0       |     0.226      |      0.9564     |
|             cpi_urb_nonvol_1yr_diff_*_med_house_price_1yr_diff_ewma_trim_t            |  0.006  |   0.5015   |  1.006   |    30.6936    |      0.0       |     0.2216     |      0.9583     |
|                   equity_alloc_/_capacity_util_mfg_ewma_trim_pow2_t                   |   0.0   |    0.5     |   1.0    |      nan      |      nan       |      nan       |       nan       |
|                   equity_alloc_*_capacity_util_chem_ewma_trim_pow2_t                  | -0.0229 |   0.4943   |  0.9773  |    13.7191    |     0.0008     |    48.5668     |      0.1132     |
|                   equity_alloc_/_capacity_util_chem_ewma_trim_pow2_t                  |   0.0   |    0.5     |   1.0    |      nan      |      nan       |      nan       |       nan       |
|                     tsy_10yr_yield_*_unempl_rate_ewma_trim_pow2_t                     | -0.0081 |   0.498    |  0.992   |    18.9082    |     0.0001     |    144.9582    |      0.0657     |
|     real_med_family_income_1yr_diff_*_combanks_business_loans_1yr_diff_ewma_trim_t    |  0.0041 |   0.501    |  1.0041  |    22.0947    |      0.0       |    135.6806    |      0.0679     |
|            equity_alloc_/_real_med_family_income_1yr_diff_ewma_trim_pow2_t            | -0.0133 |   0.4967   |  0.9868  |    17.7818    |     0.0002     |    128.2777    |      0.0698     |
|               equity_alloc_/_med_family_income_1yr_diff_ewma_trim_pow2_t              | -0.0134 |   0.4966   |  0.9867  |    16.6916    |     0.0003     |    125.5722    |      0.0705     |
|                   tsy_10yr_yield_/_gdp_nom_1yr_diff_ewma_trim_pow2_t                  |  0.0027 |   0.5007   |  1.0027  |    10.3068    |     0.003      |    118.7986    |      0.0725     |
|              equity_alloc_*_combanks_assets_tot_1yr_diff_ewma_trim_pow2_t             | -0.0119 |   0.497    |  0.9881  |    16.0063    |     0.0003     |    117.8296    |      0.0728     |
|        industrial_prod_1yr_diff_*_combanks_business_loans_1yr_diff_ewma_trim_t        |   0.0   |    0.5     |   1.0    |    21.2847    |     0.0001     |    115.1699    |      0.0736     |
|            equity_alloc_/_combanks_business_loans_1yr_diff_ewma_trim_pow2_t           | -0.0172 |   0.4957   |  0.983   |    26.5755    |      0.0       |    115.4028    |      0.0736     |
|              tsy_10yr_yield_/_empl_construction_1yr_diff_ewma_trim_pow2_t             | -0.0003 |   0.4999   |  0.9997  |    11.5349    |     0.0018     |    113.1877    |      0.0743     |
|                             equity_alloc_ewma_trim_pow2_t                             | -0.0152 |   0.4962   |  0.985   |    16.3654    |     0.0003     |    103.1637    |      0.0778     |
|          industrial_prod_1yr_diff_*_combanks_assets_tot_1yr_diff_ewma_trim_t          | -0.0007 |   0.4998   |  0.9993  |    27.0784    |      0.0       |    102.0183    |      0.0782     |
|              equity_alloc_/_combanks_assets_tot_1yr_diff_ewma_trim_pow2_t             | -0.0183 |   0.4954   |  0.9819  |    16.7185    |     0.0003     |    100.9009    |      0.0787     |
|         industrial_prod_1yr_diff_/_real_med_family_income_1yr_diff_ewma_trim_t        | -0.0017 |   0.4996   |  0.9983  |    28.5244    |      0.0       |     98.395     |      0.0797     |
|          real_estate_loans_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t          |  0.006  |   0.5015   |  1.006   |    32.0589    |      0.0       |    97.8007     |      0.0799     |
|            equity_alloc_*_real_med_family_income_1yr_diff_ewma_trim_pow2_t            | -0.0169 |   0.4958   |  0.9833  |    15.0536    |     0.0005     |    89.5893     |      0.0835     |
|               equity_alloc_*_med_family_income_1yr_diff_ewma_trim_pow2_t              | -0.0165 |   0.4959   |  0.9836  |    16.0242    |     0.0003     |    88.5718     |      0.0839     |
|                  tsy_10yr_yield_*_capacity_util_mfg_ewma_trim_pow2_t                  |  0.0079 |   0.502    |  1.008   |     7.0621    |     0.0122     |    83.5491     |      0.0864     |
|        housing_supply_1yr_diff_/_mortage_debt_individuals_1yr_diff_ewma_trim_t        |  0.0039 |   0.501    |  1.0039  |    28.9748    |      0.0       |    77.6243     |      0.0896     |
|                equity_alloc_*_industrial_prod_1yr_diff_ewma_trim_pow2_t               | -0.0254 |   0.4936   |  0.9749  |    14.0253    |     0.0007     |    74.1334     |      0.0917     |
|                  tsy_10yr_yield_*_capacity_util_chem_ewma_trim_pow2_t                 |  0.0059 |   0.5015   |  1.0059  |     7.8197    |     0.0087     |    72.4193     |      0.0928     |
|              equity_alloc_/_foreign_dir_invest_1yr_diff_ewma_trim_pow2_t              | -0.0168 |   0.4958   |  0.9834  |    23.2735    |      0.0       |    67.8614     |      0.0958     |
|                             tsy_5yr_yield_ewma_trim_pow2_t                            | -0.0028 |   0.4993   |  0.9972  |     4.8699    |     0.0346     |    64.0733     |      0.0986     |
|          real_estate_loans_1yr_diff_*_foreign_dir_invest_1yr_diff_ewma_trim_t         |  0.0006 |   0.5001   |  1.0006  |    25.8504    |      0.0       |    62.8016     |      0.0996     |
|              equity_alloc_*_foreign_dir_invest_1yr_diff_ewma_trim_pow2_t              | -0.0129 |   0.4968   |  0.9872  |    11.4312    |     0.0019     |    60.5654     |      0.1014     |
|              tsy_10yr_yield_*_empl_construction_1yr_diff_ewma_trim_pow2_t             |  0.0045 |   0.5011   |  1.0045  |     8.2609    |     0.0071     |    54.2053     |      0.1072     |
|                       industrial_prod_1yr_diff_ewma_trim_pow2_t                       | -0.0068 |   0.4983   |  0.9932  |     25.201    |      0.0       |     52.353     |      0.109      |
|                   tsy_10yr_yield_*_gdp_nom_1yr_diff_ewma_trim_pow2_t                  |  0.0013 |   0.5003   |  1.0013  |     9.2614    |     0.0047     |    51.8397     |      0.1096     |
|        med_family_income_1yr_diff_/_real_med_family_income_1yr_diff_ewma_trim_t       |  0.001  |   0.5002   |  1.001   |    30.4195    |      0.0       |    46.8516     |      0.1152     |
|        med_family_income_1yr_diff_*_real_med_family_income_1yr_diff_ewma_trim_t       | -0.0004 |   0.4999   |  0.9996  |    27.9221    |      0.0       |    44.0038     |      0.1188     |
|                equity_alloc_*_housing_starts_1yr_diff_ewma_trim_pow2_t                |  0.0013 |   0.5003   |  1.0013  |    18.6004    |     0.0001     |    43.0076     |      0.1202     |
|                    equity_alloc_*_gdp_nom_1yr_diff_ewma_trim_pow2_t                   | -0.0199 |   0.495    |  0.9803  |    15.4594    |     0.0004     |     41.94      |      0.1217     |
|            housing_supply_1yr_diff_*_real_estate_loans_1yr_diff_ewma_trim_t           | -0.0006 |   0.4999   |  0.9994  |    32.8746    |      0.0       |     41.503     |      0.1223     |
|       combanks_business_loans_1yr_diff_/_real_estate_loans_1yr_diff_ewma_trim_t       |  0.0045 |   0.5011   |  1.0045  |    22.0378    |      0.0       |    40.6709     |      0.1236     |
|          industrial_prod_1yr_diff_/_combanks_assets_tot_1yr_diff_ewma_trim_t          | -0.0045 |   0.4989   |  0.9955  |    27.5722    |      0.0       |    40.2774     |      0.1242     |
|       real_med_family_income_1yr_diff_/_combanks_assets_tot_1yr_diff_ewma_trim_t      |  -0.001 |   0.4998   |  0.999   |    28.5982    |      0.0       |    39.9145     |      0.1247     |
|         housing_supply_1yr_diff_/_combanks_business_loans_1yr_diff_ewma_trim_t        | -0.0059 |   0.4985   |  0.9941  |    40.7557    |      0.0       |    39.7903     |      0.1249     |
|               equity_alloc_/_real_estate_loans_1yr_diff_ewma_trim_pow2_t              | -0.0125 |   0.4969   |  0.9875  |    15.3789    |     0.0004     |    39.7464     |      0.125      |
|            housing_supply_1yr_diff_/_tax_receipts_corp_1yr_diff_ewma_trim_t           | -0.0059 |   0.4985   |  0.9941  |     30.975    |      0.0       |    39.4891     |      0.1254     |
|                            tsy_10yr_yield_ewma_trim_pow2_t                            |  0.0023 |   0.5006   |  1.0023  |     9.8104    |     0.0037     |    38.5601     |      0.1269     |
|                           capacity_util_mfg_ewma_trim_pow2_t                          | -0.0022 |   0.4995   |  0.9978  |    21.3934    |     0.0001     |    38.2058     |      0.1275     |
|           industrial_prod_1yr_diff_*_real_estate_loans_1yr_diff_ewma_trim_t           | -0.0015 |   0.4996   |  0.9985  |    28.5707    |      0.0       |    37.7023     |      0.1283     |
|       combanks_business_loans_1yr_diff_*_foreign_dir_invest_1yr_diff_ewma_trim_t      |  0.0034 |   0.5008   |  1.0034  |    19.5205    |     0.0001     |    37.0811     |      0.1294     |
|           housing_starts_1yr_diff_*_foreign_dir_invest_1yr_diff_ewma_trim_t           | -0.0061 |   0.4985   |  0.994   |     26.474    |      0.0       |    36.9564     |      0.1296     |
|               equity_alloc_*_empl_construction_1yr_diff_ewma_trim_pow2_t              | -0.0123 |   0.4969   |  0.9878  |    13.7964    |     0.0008     |    36.9124     |      0.1297     |
|               housing_supply_1yr_diff_*_unempl_rate_1yr_diff_ewma_trim_t              | -0.0042 |   0.499    |  0.9958  |    42.4726    |      0.0       |    36.3692     |      0.1306     |
|        industrial_prod_1yr_diff_/_mortage_debt_individuals_1yr_diff_ewma_trim_t       |  0.0015 |   0.5004   |  1.0015  |    24.9593    |      0.0       |    34.6163     |      0.1339     |
|                              unempl_rate_ewma_trim_pow2_t                             | -0.0036 |   0.4991   |  0.9964  |    65.3234    |      0.0       |    33.8995     |      0.1353     |
|                    real_med_family_income_1yr_diff_ewma_trim_pow2_t                   |  0.0007 |   0.5002   |  1.0007  |     27.153    |      0.0       |    31.5086     |      0.1402     |
|                     equity_alloc_/_tsy_10yr_yield_ewma_trim_pow2_t                    | -0.0367 |   0.4908   |  0.9639  |     45.022    |      0.0       |     31.452     |      0.1404     |
|           tsy_10yr_yield_*_med_family_income_vs_house_price_ewma_trim_pow2_t          | -0.0004 |   0.4999   |  0.9996  |    10.6787    |     0.0026     |    30.7511     |      0.1419     |
|            equity_alloc_*_med_family_income_vs_house_price_ewma_trim_pow2_t           | -0.0125 |   0.4969   |  0.9876  |    17.1279    |     0.0002     |    27.7486     |      0.1493     |
|                equity_alloc_*_housing_supply_1yr_diff_ewma_trim_pow2_t                | -0.0193 |   0.4952   |  0.9809  |    16.2352    |     0.0003     |    26.1847     |      0.1537     |
|        housing_starts_1yr_diff_*_mortage_debt_individuals_1yr_diff_ewma_trim_t        | -0.0008 |   0.4998   |  0.9992  |    34.3241    |      0.0       |    25.7093     |      0.1551     |
|               housing_starts_1yr_diff_/_unempl_rate_1yr_diff_ewma_trim_t              | -0.0069 |   0.4983   |  0.9932  |    23.4278    |      0.0       |    24.5264     |      0.1587     |
|                          capacity_util_chem_ewma_trim_pow2_t                          | -0.0068 |   0.4983   |  0.9932  |    24.1245    |      0.0       |    24.1654     |      0.1599     |
|           industrial_prod_1yr_diff_/_tax_receipts_corp_1yr_diff_ewma_trim_t           | -0.0064 |   0.4984   |  0.9936  |    26.7467    |      0.0       |    22.3787     |      0.166      |
|                equity_alloc_/_housing_starts_1yr_diff_ewma_trim_pow2_t                | -0.0142 |   0.4964   |  0.9859  |    13.9959    |     0.0007     |    22.3674     |      0.1661     |
|                  equity_alloc_*_unempl_rate_1yr_diff_ewma_trim_pow2_t                 |  0.0134 |   0.5034   |  1.0135  |    28.6266    |      0.0       |    19.2532     |      0.1788     |
|           industrial_prod_1yr_diff_/_foreign_dir_invest_1yr_diff_ewma_trim_t          | -0.0042 |   0.499    |  0.9958  |    32.3255    |      0.0       |    18.4364     |      0.1826     |
|                      foreign_dir_invest_1yr_diff_ewma_trim_pow2_t                     |  -0.003 |   0.4992   |  0.997   |    20.7601    |     0.0001     |    18.4044     |      0.1828     |
|             unempl_rate_1yr_diff_*_foreign_dir_invest_1yr_diff_ewma_trim_t            |  0.0031 |   0.5008   |  1.0031  |    33.0014    |      0.0       |    18.1665     |      0.184      |
|         combanks_assets_tot_1yr_diff_*_foreign_dir_invest_1yr_diff_ewma_trim_t        |  0.0016 |   0.5004   |  1.0016  |    24.6452    |      0.0       |     16.723     |      0.1916     |
|    real_med_family_income_1yr_diff_/_mortage_debt_individuals_1yr_diff_ewma_trim_t    |  0.005  |   0.5012   |  1.005   |    25.8984    |      0.0       |     16.381     |      0.1935     |
|         housing_supply_1yr_diff_/_real_med_family_income_1yr_diff_ewma_trim_t         | -0.0009 |   0.4998   |  0.9991  |    33.1124    |      0.0       |    16.1195     |      0.1951     |
|       combanks_business_loans_1yr_diff_/_foreign_dir_invest_1yr_diff_ewma_trim_t      |  0.0016 |   0.5004   |  1.0016  |    27.1452    |      0.0       |     16.086     |      0.1953     |
|            housing_supply_1yr_diff_/_med_family_income_1yr_diff_ewma_trim_t           |  0.0001 |    0.5     |  1.0001  |    32.0762    |      0.0       |    15.8908     |      0.1964     |
|       real_med_family_income_1yr_diff_*_foreign_dir_invest_1yr_diff_ewma_trim_t       | -0.0005 |   0.4999   |  0.9995  |    23.8211    |      0.0       |    15.1016     |      0.2014     |
|                equity_alloc_/_med_house_price_1yr_diff_ewma_trim_pow2_t               | -0.0148 |   0.4963   |  0.9853  |    15.1223    |     0.0005     |    14.3553     |      0.2064     |
|           equity_alloc_*_mortage_debt_individuals_1yr_diff_ewma_trim_pow2_t           | -0.0121 |   0.497    |  0.988   |    19.4704    |     0.0001     |    13.9027     |      0.2097     |
|          med_family_income_1yr_diff_*_foreign_dir_invest_1yr_diff_ewma_trim_t         | -0.0016 |   0.4996   |  0.9984  |    24.5133    |      0.0       |    13.6325     |      0.2117     |
|           housing_supply_1yr_diff_/_combanks_assets_tot_1yr_diff_ewma_trim_t          | -0.0024 |   0.4994   |  0.9976  |    31.9997    |      0.0       |    13.5467     |      0.2123     |
|        real_med_family_income_1yr_diff_/_tax_receipts_corp_1yr_diff_ewma_trim_t       |  -0.003 |   0.4992   |  0.997   |    27.7287    |      0.0       |    13.3352     |      0.214      |
|           industrial_prod_1yr_diff_*_foreign_dir_invest_1yr_diff_ewma_trim_t          | -0.0041 |   0.499    |  0.9959  |    23.0019    |      0.0       |    13.3135     |      0.2141     |
|           housing_supply_1yr_diff_*_combanks_assets_tot_1yr_diff_ewma_trim_t          | -0.0001 |    0.5     |  0.9999  |     31.421    |      0.0       |    13.3002     |      0.2143     |
|             unempl_rate_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t             | -0.0047 |   0.4988   |  0.9953  |     41.205    |      0.0       |    13.2333     |      0.2148     |
|                     equity_alloc_*_tsy_5yr_yield_ewma_trim_pow2_t                     |  0.0046 |   0.5011   |  1.0046  |     3.0043    |     0.0927     |    13.0156     |      0.2165     |
|            housing_starts_1yr_diff_/_real_estate_loans_1yr_diff_ewma_trim_t           |  0.0005 |   0.5001   |  1.0005  |    29.8926    |      0.0       |    12.9135     |      0.2174     |
|       combanks_business_loans_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t       |  0.0078 |   0.502    |  1.0078  |    23.8387    |      0.0       |    12.9024     |      0.2174     |
|         housing_starts_1yr_diff_*_combanks_business_loans_1yr_diff_ewma_trim_t        | -0.0007 |   0.4998   |  0.9993  |    24.3472    |      0.0       |    12.7258     |      0.2189     |
|               equity_alloc_*_tax_receipts_corp_1yr_diff_ewma_trim_pow2_t              | -0.0133 |   0.4967   |  0.9868  |    17.3376    |     0.0002     |    12.4461     |      0.2213     |
|             housing_supply_1yr_diff_/_med_house_price_1yr_diff_ewma_trim_t            | -0.0086 |   0.4979   |  0.9914  |    30.4609    |      0.0       |    12.2262     |      0.2232     |
|          med_family_income_1yr_diff_/_foreign_dir_invest_1yr_diff_ewma_trim_t         | -0.0005 |   0.4999   |  0.9995  |    34.5043    |      0.0       |    12.2059     |      0.2234     |
|      combanks_assets_tot_1yr_diff_*_mortage_debt_individuals_1yr_diff_ewma_trim_t     |  0.0024 |   0.5006   |  1.0024  |    32.1145    |      0.0       |    12.1385     |      0.224      |
|         housing_supply_1yr_diff_*_combanks_business_loans_1yr_diff_ewma_trim_t        |  0.0018 |   0.5004   |  1.0018  |    24.7508    |      0.0       |    11.7562     |      0.2275     |
|                        housing_supply_1yr_diff_ewma_trim_pow2_t                       | -0.0031 |   0.4992   |  0.9969  |    32.5275    |      0.0       |     11.753     |      0.2275     |
|       real_med_family_income_1yr_diff_/_foreign_dir_invest_1yr_diff_ewma_trim_t       |  0.0007 |   0.5002   |  1.0007  |    33.5862    |      0.0       |    11.6799     |      0.2282     |
|           industrial_prod_1yr_diff_/_real_estate_loans_1yr_diff_ewma_trim_t           | -0.0033 |   0.4992   |  0.9967  |    26.0941    |      0.0       |    11.5934     |      0.2291     |
|        real_med_family_income_1yr_diff_*_real_estate_loans_1yr_diff_ewma_trim_t       |  0.0022 |   0.5006   |  1.0022  |    29.6174    |      0.0       |    11.3056     |      0.2319     |
|         combanks_assets_tot_1yr_diff_*_real_estate_loans_1yr_diff_ewma_trim_t         |  0.0047 |   0.5012   |  1.0047  |     30.632    |      0.0       |    11.2655     |      0.2323     |
|             unempl_rate_1yr_diff_/_real_estate_loans_1yr_diff_ewma_trim_t             | -0.0015 |   0.4996   |  0.9985  |    37.9429    |      0.0       |    11.0997     |      0.2339     |
|          med_family_income_1yr_diff_/_tax_receipts_corp_1yr_diff_ewma_trim_t          |  -0.004 |   0.499    |  0.996   |    28.4998    |      0.0       |    11.0059     |      0.2349     |
|         housing_supply_1yr_diff_*_real_med_family_income_1yr_diff_ewma_trim_t         | -0.0017 |   0.4996   |  0.9983  |    30.3669    |      0.0       |    10.8858     |      0.2362     |
|          unempl_rate_1yr_diff_*_mortage_debt_individuals_1yr_diff_ewma_trim_t         | -0.0014 |   0.4996   |  0.9986  |    43.3803    |      0.0       |    10.7471     |      0.2376     |
|                  equity_alloc_/_unempl_rate_1yr_diff_ewma_trim_pow2_t                 | -0.0225 |   0.4944   |  0.9777  |     9.4335    |     0.0043     |    10.6969     |      0.2382     |
|            housing_supply_1yr_diff_*_med_family_income_1yr_diff_ewma_trim_t           | -0.0026 |   0.4993   |  0.9974  |    31.3352    |      0.0       |    10.6734     |      0.2384     |
|          med_family_income_1yr_diff_/_real_estate_loans_1yr_diff_ewma_trim_t          | -0.0003 |   0.4999   |  0.9997  |    27.8375    |      0.0       |    10.4222     |      0.2412     |
|         combanks_assets_tot_1yr_diff_/_foreign_dir_invest_1yr_diff_ewma_trim_t        |  0.003  |   0.5008   |  1.003   |    34.7223    |      0.0       |    10.3623     |      0.2419     |
|       med_family_income_1yr_diff_/_mortage_debt_individuals_1yr_diff_ewma_trim_t      |  0.0039 |   0.501    |  1.0039  |    26.6255    |      0.0       |    10.3311     |      0.2422     |
|    combanks_business_loans_1yr_diff_*_mortage_debt_individuals_1yr_diff_ewma_trim_t   |  0.0027 |   0.5007   |  1.0027  |    25.2595    |      0.0       |    10.2695     |      0.2429     |
|         combanks_assets_tot_1yr_diff_/_tax_receipts_corp_1yr_diff_ewma_trim_t         | -0.0001 |    0.5     |  0.9999  |    28.6235    |      0.0       |     9.4151     |      0.2533     |
|          unempl_rate_1yr_diff_/_combanks_business_loans_1yr_diff_ewma_trim_t          | -0.0049 |   0.4988   |  0.9951  |    50.8763    |      0.0       |     9.2731     |      0.2552     |
|         housing_starts_1yr_diff_/_combanks_business_loans_1yr_diff_ewma_trim_t        | -0.0025 |   0.4994   |  0.9975  |    40.5902    |      0.0       |     9.1676     |      0.2566     |
|        real_med_family_income_1yr_diff_/_real_estate_loans_1yr_diff_ewma_trim_t       |  0.0006 |   0.5002   |  1.0006  |    27.0858    |      0.0       |     9.0592     |      0.2581     |
|         combanks_assets_tot_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t         |  0.0073 |   0.5018   |  1.0073  |    30.3956    |      0.0       |     9.0147     |      0.2587     |
|           housing_supply_1yr_diff_*_foreign_dir_invest_1yr_diff_ewma_trim_t           |  0.0025 |   0.5006   |  1.0025  |    26.2156    |      0.0       |     8.5982     |      0.2646     |
|             housing_starts_1yr_diff_/_housing_supply_1yr_diff_ewma_trim_t             |  0.0005 |   0.5001   |  1.0005  |    27.5413    |      0.0       |     8.3771     |      0.268      |
|                     equity_alloc_*_tsy_10yr_yield_ewma_trim_pow2_t                    |   0.01  |   0.5025   |  1.0101  |     6.4949    |     0.0158     |     8.1437     |      0.2716     |
|          med_family_income_1yr_diff_*_real_estate_loans_1yr_diff_ewma_trim_t          |  0.0012 |   0.5003   |  1.0012  |    30.4698    |      0.0       |     8.1146     |      0.2721     |
|            housing_supply_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t           |  0.0025 |   0.5006   |  1.0026  |    32.8371    |      0.0       |     7.8005     |      0.2773     |
|                   mortage_debt_individuals_1yr_diff_ewma_trim_pow2_t                  |  0.0001 |    0.5     |  1.0001  |    35.4032    |      0.0       |     7.6683     |      0.2795     |
|           industrial_prod_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t           |  0.0002 |   0.5001   |  1.0002  |     28.272    |      0.0       |      7.52      |      0.2822     |
|                      real_estate_loans_1yr_diff_ewma_trim_pow2_t                      |  0.0038 |   0.5009   |  1.0038  |     32.212    |      0.0       |     7.4518     |      0.2834     |
|       med_family_income_1yr_diff_*_mortage_debt_individuals_1yr_diff_ewma_trim_t      | -0.0014 |   0.4996   |  0.9986  |    31.9133    |      0.0       |     7.2347     |      0.2874     |
|            unempl_rate_1yr_diff_/_combanks_assets_tot_1yr_diff_ewma_trim_t            | -0.0111 |   0.4972   |  0.989   |     39.955    |      0.0       |     7.1061     |      0.2899     |
|        housing_supply_1yr_diff_*_mortage_debt_individuals_1yr_diff_ewma_trim_t        | -0.0048 |   0.4988   |  0.9953  |    34.6948    |      0.0       |     7.0104     |      0.2918     |
|      combanks_assets_tot_1yr_diff_/_mortage_debt_individuals_1yr_diff_ewma_trim_t     |  0.0078 |   0.5019   |  1.0078  |    26.7711    |      0.0       |     6.9877     |      0.2922     |
|         combanks_assets_tot_1yr_diff_/_real_estate_loans_1yr_diff_ewma_trim_t         |  0.0039 |   0.501    |  1.0039  |    28.0156    |      0.0       |     6.9903     |      0.2922     |
|          med_family_income_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t          |  0.0031 |   0.5008   |  1.0031  |    30.1678    |      0.0       |     6.969      |      0.2926     |
|                         unempl_rate_1yr_diff_ewma_trim_pow2_t                         |  -0.015 |   0.4962   |  0.9851  |    51.1688    |      0.0       |     6.9493     |      0.293      |
|           med_house_price_1yr_diff_/_foreign_dir_invest_1yr_diff_ewma_trim_t          |  0.0053 |   0.5013   |  1.0053  |    36.6176    |      0.0       |     6.4831     |      0.3028     |
|            housing_supply_1yr_diff_/_real_estate_loans_1yr_diff_ewma_trim_t           | -0.0017 |   0.4996   |  0.9983  |    30.5296    |      0.0       |     6.3781     |      0.3052     |
|           unempl_rate_1yr_diff_/_real_med_family_income_1yr_diff_ewma_trim_t          | -0.0104 |   0.4974   |  0.9897  |    41.2239    |      0.0       |     6.2307     |      0.3086     |
|             med_family_income_1yr_diff_*_unempl_rate_1yr_diff_ewma_trim_t             | -0.0104 |   0.4974   |  0.9897  |    39.1213    |      0.0       |     5.7266     |      0.3211     |
|                      tax_receipts_corp_1yr_diff_ewma_trim_pow2_t                      |  0.0081 |   0.502    |  1.0081  |     31.558    |      0.0       |     5.6776     |      0.3224     |
|                        cpi_urb_nonvol_1yr_diff_ewma_trim_pow2_t                       |  0.0017 |   0.5004   |  1.0017  |    29.2914    |      0.0       |     5.4882     |      0.3276     |
|        industrial_prod_1yr_diff_*_mortage_debt_individuals_1yr_diff_ewma_trim_t       | -0.0048 |   0.4988   |  0.9952  |    29.9251    |      0.0       |     5.4548     |      0.3285     |
|        real_med_family_income_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t       |  0.0047 |   0.5012   |  1.0047  |     29.347    |      0.0       |     5.406      |      0.3299     |
|       mortage_debt_individuals_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t      |  0.0028 |   0.5007   |  1.0028  |    33.4523    |      0.0       |     5.2991     |      0.333      |
|           housing_starts_1yr_diff_/_foreign_dir_invest_1yr_diff_ewma_trim_t           |  0.0021 |   0.5005   |  1.0021  |    37.0368    |      0.0       |      5.0       |      0.3422     |
|                   med_family_income_vs_house_price_ewma_trim_pow2_t                   |  0.0037 |   0.5009   |  1.0037  |    31.6839    |      0.0       |     4.9995     |      0.3422     |
|             housing_starts_1yr_diff_*_med_house_price_1yr_diff_ewma_trim_t            | -0.0034 |   0.4992   |  0.9966  |    32.7598    |      0.0       |     4.9765     |      0.3429     |
