+---------------------------------------------------------------------------------------+---------+------------+----------+---------------+----------------+----------------+-----------------+
|                                          name                                         |  coefs  | coef_expit | coef_exp | linreg_scores | linreg_pvalues | classif_scores | classif_pvalues |
|       mortage_debt_individuals_1yr_diff_/_tax_receipts_corp_1yr_diff_ewma_trim_t      | -0.0044 |   0.4989   |  0.9956  |    31.5909    |      0.0       |  409692.6652   |      0.0012     |
|                 equity_alloc_/_empl_construction_1yr_diff_ewma_trim_t                 | -0.0099 |   0.4975   |  0.9902  |    24.1762    |      0.0       |  254640.9137   |      0.0016     |
|               equity_alloc_/_empl_construction_1yr_diff_ewma_trim_pow2_t              | -0.0188 |   0.4953   |  0.9814  |    19.3851    |     0.0001     |  172390.8975   |      0.0019     |
|                  sp500_peratio_/_housing_supply_1yr_diff_ewma_trim_t                  | -0.0003 |   0.4999   |  0.9997  |    14.4259    |     0.0006     |   51237.1268   |      0.0035     |
|                  tsy_3mo_yield_/_med_house_price_1yr_diff_ewma_trim_t                 | -0.0098 |   0.4976   |  0.9903  |     4.0491    |     0.0527     |   14447.1447   |      0.0066     |
|                  tsy_10yr_yield_*_housing_starts_1yr_diff_ewma_trim_t                 |  0.0021 |   0.5005   |  1.0021  |    17.9124    |     0.0002     |   13428.1124   |      0.0068     |
|         med_family_income_1yr_diff_*_combanks_assets_tot_1yr_diff_ewma_trim_t         |  0.0026 |   0.5007   |  1.0026  |    28.8855    |      0.0       |   8529.6691    |      0.0086     |
|              equity_alloc_/_mortage_debt_individuals_1yr_diff_ewma_trim_t             |  -0.005 |   0.4988   |  0.995   |    20.3362    |     0.0001     |   5315.0175    |      0.0109     |
|           equity_alloc_/_mortage_debt_individuals_1yr_diff_ewma_trim_pow2_t           | -0.0125 |   0.4969   |  0.9876  |    13.8483    |     0.0008     |   5295.8627    |      0.0109     |
|                   capacity_util_chem_/_gdp_nom_1yr_diff_ewma_trim_t                   |  0.0021 |   0.5005   |  1.0021  |    27.5397    |      0.0       |   5014.2018    |      0.0112     |
|       med_family_income_vs_house_price_/_empl_construction_1yr_diff_ewma_trim_t       | -0.0027 |   0.4993   |  0.9973  |    33.5121    |      0.0       |   4887.2882    |      0.0113     |
|                sp500_peratio_/_foreign_dir_invest_1yr_diff_ewma_trim_t                |  0.0007 |   0.5002   |  1.0007  |    18.2418    |     0.0002     |   4283.9224    |      0.0121     |
