index1,name,linreg_scores,linreg_pvalues,classif_scores,classif_pvalues
150,tsy_10yr_yield_div_capacity_util_chem_ewma_trim_t,10.4672,0.0022,7.4415,0.0088
151,tsy_10yr_yield_div_capacity_util_chem_ewma_trim_isnull,,,,
152,tsy_10yr_yield_times_med_family_income_vs_house_price_ewma_trim_t,12.3244,0.001,12.0117,0.0011
153,tsy_10yr_yield_times_med_family_income_vs_house_price_ewma_trim_isnull,,,,
154,tsy_10yr_yield_div_med_family_income_vs_house_price_ewma_trim_t,11.9886,0.0011,11.0611,0.0017
155,tsy_10yr_yield_div_med_family_income_vs_house_price_ewma_trim_isnull,,,,
156,tsy_10yr_yield_times_gdp_nom_1yr_diff_ewma_trim_t,12.1696,0.001,11.0421,0.0017
157,tsy_10yr_yield_times_gdp_nom_1yr_diff_ewma_trim_isnull,,,,
158,tsy_10yr_yield_div_gdp_nom_1yr_diff_ewma_trim_t,12.0601,0.0011,11.8978,0.0012
159,tsy_10yr_yield_div_gdp_nom_1yr_diff_ewma_trim_isnull,,,,
160,tsy_10yr_yield_times_cpi_urb_nonvol_1yr_diff_ewma_trim_t,12.2358,0.001,11.8041,0.0012
161,tsy_10yr_yield_times_cpi_urb_nonvol_1yr_diff_ewma_trim_isnull,,,,
162,tsy_10yr_yield_div_cpi_urb_nonvol_1yr_diff_ewma_trim_t,12.0121,0.0011,11.2239,0.0016
163,tsy_10yr_yield_div_cpi_urb_nonvol_1yr_diff_ewma_trim_isnull,,,,
164,tsy_10yr_yield_times_industrial_prod_1yr_diff_ewma_trim_t,12.3832,0.0009,12.0341,0.0011
165,tsy_10yr_yield_times_industrial_prod_1yr_diff_ewma_trim_isnull,,,,
166,tsy_10yr_yield_div_industrial_prod_1yr_diff_ewma_trim_t,11.7752,0.0012,10.4232,0.0022
167,tsy_10yr_yield_div_industrial_prod_1yr_diff_ewma_trim_isnull,,,,
168,tsy_10yr_yield_times_med_house_price_1yr_diff_ewma_trim_t,11.183,0.0016,8.0973,0.0065
169,tsy_10yr_yield_times_med_house_price_1yr_diff_ewma_trim_isnull,,,,
170,tsy_10yr_yield_div_med_house_price_1yr_diff_ewma_trim_t,13.0849,0.0007,15.0402,0.0003
171,tsy_10yr_yield_div_med_house_price_1yr_diff_ewma_trim_isnull,,,,
172,tsy_10yr_yield_times_med_family_income_1yr_diff_ewma_trim_t,12.3132,0.001,12.0238,0.0011
173,tsy_10yr_yield_times_med_family_income_1yr_diff_ewma_trim_isnull,,,,
174,tsy_10yr_yield_div_med_family_income_1yr_diff_ewma_trim_t,11.9265,0.0011,10.9812,0.0017
175,tsy_10yr_yield_div_med_family_income_1yr_diff_ewma_trim_isnull,,,,
176,tsy_10yr_yield_times_unempl_rate_1yr_diff_ewma_trim_t,11.539,0.0013,7.418,0.0089
177,tsy_10yr_yield_times_unempl_rate_1yr_diff_ewma_trim_isnull,,,,
178,tsy_10yr_yield_div_unempl_rate_1yr_diff_ewma_trim_t,11.5131,0.0014,8.3876,0.0056
179,tsy_10yr_yield_div_unempl_rate_1yr_diff_ewma_trim_isnull,,,,
180,tsy_10yr_yield_times_real_med_family_income_1yr_diff_ewma_trim_t,12.3739,0.0009,12.1198,0.0011
181,tsy_10yr_yield_times_real_med_family_income_1yr_diff_ewma_trim_isnull,,,,
182,tsy_10yr_yield_div_real_med_family_income_1yr_diff_ewma_trim_t,11.8787,0.0012,10.9204,0.0018
183,tsy_10yr_yield_div_real_med_family_income_1yr_diff_ewma_trim_isnull,,,,
184,tsy_10yr_yield_times_combanks_business_loans_1yr_diff_ewma_trim_t,15.0559,0.0003,21.6525,0.0
185,tsy_10yr_yield_times_combanks_business_loans_1yr_diff_ewma_trim_isnull,,,,
186,tsy_10yr_yield_div_combanks_business_loans_1yr_diff_ewma_trim_t,9.4005,0.0035,3.5618,0.0651
187,tsy_10yr_yield_div_combanks_business_loans_1yr_diff_ewma_trim_isnull,,,,
188,tsy_10yr_yield_times_combanks_assets_tot_1yr_diff_ewma_trim_t,12.8975,0.0007,13.1156,0.0007
189,tsy_10yr_yield_times_combanks_assets_tot_1yr_diff_ewma_trim_isnull,,,,
190,tsy_10yr_yield_div_combanks_assets_tot_1yr_diff_ewma_trim_t,11.3397,0.0015,9.6321,0.0032
191,tsy_10yr_yield_div_combanks_assets_tot_1yr_diff_ewma_trim_isnull,,,,
192,tsy_10yr_yield_times_mortage_debt_individuals_1yr_diff_ewma_trim_t,11.1196,0.0016,6.3322,0.0152
193,tsy_10yr_yield_times_mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
194,tsy_10yr_yield_div_mortage_debt_individuals_1yr_diff_ewma_trim_t,12.7708,0.0008,17.4291,0.0001
195,tsy_10yr_yield_div_mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
196,tsy_10yr_yield_times_real_estate_loans_1yr_diff_ewma_trim_t,12.8071,0.0008,10.8197,0.0019
197,tsy_10yr_yield_times_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
198,tsy_10yr_yield_div_real_estate_loans_1yr_diff_ewma_trim_t,11.3095,0.0015,11.6198,0.0013
199,tsy_10yr_yield_div_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
200,tsy_10yr_yield_times_foreign_dir_invest_1yr_diff_ewma_trim_t,13.2155,0.0007,14.4199,0.0004
201,tsy_10yr_yield_times_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
202,tsy_10yr_yield_div_foreign_dir_invest_1yr_diff_ewma_trim_t,11.0641,0.0017,8.4916,0.0054
203,tsy_10yr_yield_div_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
204,tsy_10yr_yield_times_tax_receipts_corp_1yr_diff_ewma_trim_t,10.2929,0.0023,5.4895,0.0232
205,tsy_10yr_yield_times_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
206,tsy_10yr_yield_div_tax_receipts_corp_1yr_diff_ewma_trim_t,14.4802,0.0004,21.5691,0.0
207,tsy_10yr_yield_div_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
208,tsy_5yr_yield_times_tsy_3mo_yield_ewma_trim_t,34.5447,0.0,24.2571,0.0
209,tsy_5yr_yield_times_tsy_3mo_yield_ewma_trim_isnull,,,,
210,tsy_5yr_yield_div_tsy_3mo_yield_ewma_trim_t,1.8402,0.181,33.5977,0.0
