+-------------------------------------------------------------------------------------------+---------------+----------------+----------------+-----------------+
|                                            name                                           | linreg_scores | linreg_pvalues | classif_scores | classif_pvalues |
|                        tsy_10yr_yield_div_sp500_peratio_ewma_trim_t                       |     9.7829    |     0.0029     |     5.1923     |      0.0271     |
|                     tsy_10yr_yield_times_capacity_util_mfg_ewma_trim_t                    |    13.3846    |     0.0006     |    14.4166     |      0.0004     |
|                      tsy_10yr_yield_div_capacity_util_mfg_ewma_trim_t                     |    11.0813    |     0.0016     |     8.0649     |      0.0066     |
|                    tsy_10yr_yield_times_capacity_util_chem_ewma_trim_t                    |    13.4824    |     0.0006     |    13.8798     |      0.0005     |
|                     tsy_10yr_yield_div_capacity_util_chem_ewma_trim_t                     |    10.4672    |     0.0022     |     7.4415     |      0.0088     |
|             tsy_10yr_yield_times_med_family_income_vs_house_price_ewma_trim_t             |    12.3244    |     0.001      |    12.0117     |      0.0011     |
|              tsy_10yr_yield_div_med_family_income_vs_house_price_ewma_trim_t              |    11.9886    |     0.0011     |    11.0611     |      0.0017     |
|                     tsy_10yr_yield_times_gdp_nom_1yr_diff_ewma_trim_t                     |    12.1696    |     0.001      |    11.0421     |      0.0017     |
|                      tsy_10yr_yield_div_gdp_nom_1yr_diff_ewma_trim_t                      |    12.0601    |     0.0011     |    11.8978     |      0.0012     |
|                  tsy_10yr_yield_times_cpi_urb_nonvol_1yr_diff_ewma_trim_t                 |    12.2358    |     0.001      |    11.8041     |      0.0012     |
|                   tsy_10yr_yield_div_cpi_urb_nonvol_1yr_diff_ewma_trim_t                  |    12.0121    |     0.0011     |    11.2239     |      0.0016     |
|                 tsy_10yr_yield_times_industrial_prod_1yr_diff_ewma_trim_t                 |    12.3832    |     0.0009     |    12.0341     |      0.0011     |
|                  tsy_10yr_yield_div_industrial_prod_1yr_diff_ewma_trim_t                  |    11.7752    |     0.0012     |    10.4232     |      0.0022     |
|                 tsy_10yr_yield_times_med_house_price_1yr_diff_ewma_trim_t                 |     11.183    |     0.0016     |     8.0973     |      0.0065     |
|                  tsy_10yr_yield_div_med_house_price_1yr_diff_ewma_trim_t                  |    13.0849    |     0.0007     |    15.0402     |      0.0003     |
|                tsy_10yr_yield_times_med_family_income_1yr_diff_ewma_trim_t                |    12.3132    |     0.001      |    12.0238     |      0.0011     |
|                 tsy_10yr_yield_div_med_family_income_1yr_diff_ewma_trim_t                 |    11.9265    |     0.0011     |    10.9812     |      0.0017     |
|                   tsy_10yr_yield_times_unempl_rate_1yr_diff_ewma_trim_t                   |     11.539    |     0.0013     |     7.418      |      0.0089     |
|                    tsy_10yr_yield_div_unempl_rate_1yr_diff_ewma_trim_t                    |    11.5131    |     0.0014     |     8.3876     |      0.0056     |
|              tsy_10yr_yield_times_real_med_family_income_1yr_diff_ewma_trim_t             |    12.3739    |     0.0009     |    12.1198     |      0.0011     |
|               tsy_10yr_yield_div_real_med_family_income_1yr_diff_ewma_trim_t              |    11.8787    |     0.0012     |    10.9204     |      0.0018     |
|             tsy_10yr_yield_times_combanks_business_loans_1yr_diff_ewma_trim_t             |    15.0559    |     0.0003     |    21.6525     |       0.0       |
|              tsy_10yr_yield_div_combanks_business_loans_1yr_diff_ewma_trim_t              |     9.4005    |     0.0035     |     3.5618     |      0.0651     |
|               tsy_10yr_yield_times_combanks_assets_tot_1yr_diff_ewma_trim_t               |    12.8975    |     0.0007     |    13.1156     |      0.0007     |
|                tsy_10yr_yield_div_combanks_assets_tot_1yr_diff_ewma_trim_t                |    11.3397    |     0.0015     |     9.6321     |      0.0032     |
|             tsy_10yr_yield_times_mortage_debt_individuals_1yr_diff_ewma_trim_t            |    11.1196    |     0.0016     |     6.3322     |      0.0152     |
|              tsy_10yr_yield_div_mortage_debt_individuals_1yr_diff_ewma_trim_t             |    12.7708    |     0.0008     |    17.4291     |      0.0001     |
|                tsy_10yr_yield_times_real_estate_loans_1yr_diff_ewma_trim_t                |    12.8071    |     0.0008     |    10.8197     |      0.0019     |
|                 tsy_10yr_yield_div_real_estate_loans_1yr_diff_ewma_trim_t                 |    11.3095    |     0.0015     |    11.6198     |      0.0013     |
|                tsy_10yr_yield_times_foreign_dir_invest_1yr_diff_ewma_trim_t               |    13.2155    |     0.0007     |    14.4199     |      0.0004     |
|                 tsy_10yr_yield_div_foreign_dir_invest_1yr_diff_ewma_trim_t                |    11.0641    |     0.0017     |     8.4916     |      0.0054     |
|                tsy_10yr_yield_times_tax_receipts_corp_1yr_diff_ewma_trim_t                |    10.2929    |     0.0023     |     5.4895     |      0.0232     |
|                 tsy_10yr_yield_div_tax_receipts_corp_1yr_diff_ewma_trim_t                 |    14.4802    |     0.0004     |    21.5691     |       0.0       |
|                       tsy_5yr_yield_times_tsy_3mo_yield_ewma_trim_t                       |    34.5447    |      0.0       |    24.2571     |       0.0       |
|                        tsy_5yr_yield_times_unempl_rate_ewma_trim_t                        |     9.981     |     0.0027     |     4.009      |      0.0508     |
|                         tsy_5yr_yield_div_unempl_rate_ewma_trim_t                         |    23.5542    |      0.0       |    20.1316     |       0.0       |
|                       tsy_5yr_yield_times_sp500_peratio_ewma_trim_t                       |     18.903    |     0.0001     |    15.9295     |      0.0002     |
|                        tsy_5yr_yield_div_sp500_peratio_ewma_trim_t                        |    14.7444    |     0.0003     |    11.8596     |      0.0012     |
|                     tsy_5yr_yield_times_capacity_util_mfg_ewma_trim_t                     |    18.3692    |     0.0001     |    16.4041     |      0.0002     |
|                      tsy_5yr_yield_div_capacity_util_mfg_ewma_trim_t                      |    14.7801    |     0.0003     |    10.7217     |      0.0019     |
|                     tsy_5yr_yield_times_capacity_util_chem_ewma_trim_t                    |    18.4804    |     0.0001     |     16.329     |      0.0002     |
|                      tsy_5yr_yield_div_capacity_util_chem_ewma_trim_t                     |    16.5753    |     0.0002     |    14.3428     |      0.0004     |
|              tsy_5yr_yield_times_med_family_income_vs_house_price_ewma_trim_t             |    17.2921    |     0.0001     |    15.2168     |      0.0003     |
|               tsy_5yr_yield_div_med_family_income_vs_house_price_ewma_trim_t              |    16.8597    |     0.0001     |    14.4718     |      0.0004     |
|                      tsy_5yr_yield_times_gdp_nom_1yr_diff_ewma_trim_t                     |    16.9337    |     0.0001     |    14.1599     |      0.0004     |
|                       tsy_5yr_yield_div_gdp_nom_1yr_diff_ewma_trim_t                      |    17.0815    |     0.0001     |    15.3945     |      0.0003     |
|                  tsy_5yr_yield_times_cpi_urb_nonvol_1yr_diff_ewma_trim_t                  |    17.1567    |     0.0001     |    14.9821     |      0.0003     |
|                   tsy_5yr_yield_div_cpi_urb_nonvol_1yr_diff_ewma_trim_t                   |    16.8774    |     0.0001     |    14.6039     |      0.0004     |
|                  tsy_5yr_yield_times_industrial_prod_1yr_diff_ewma_trim_t                 |    17.3386    |     0.0001     |    15.1282     |      0.0003     |
|                   tsy_5yr_yield_div_industrial_prod_1yr_diff_ewma_trim_t                  |    16.5997    |     0.0002     |    14.1795     |      0.0004     |
|                  tsy_5yr_yield_times_med_house_price_1yr_diff_ewma_trim_t                 |    15.7052    |     0.0002     |    11.8811     |      0.0012     |
|                   tsy_5yr_yield_div_med_house_price_1yr_diff_ewma_trim_t                  |    18.3589    |     0.0001     |    17.9065     |      0.0001     |
|                 tsy_5yr_yield_times_med_family_income_1yr_diff_ewma_trim_t                |    17.2535    |     0.0001     |    15.1266     |      0.0003     |
|                  tsy_5yr_yield_div_med_family_income_1yr_diff_ewma_trim_t                 |    16.7968    |     0.0002     |    14.4926     |      0.0004     |
|                    tsy_5yr_yield_times_unempl_rate_1yr_diff_ewma_trim_t                   |     16.627    |     0.0002     |    13.9838     |      0.0005     |
|                     tsy_5yr_yield_div_unempl_rate_1yr_diff_ewma_trim_t                    |    15.9724    |     0.0002     |    11.6225     |      0.0013     |
|              tsy_5yr_yield_times_real_med_family_income_1yr_diff_ewma_trim_t              |     17.296    |     0.0001     |    15.1275     |      0.0003     |
|               tsy_5yr_yield_div_real_med_family_income_1yr_diff_ewma_trim_t               |    16.7451    |     0.0002     |    14.4415     |      0.0004     |
|              tsy_5yr_yield_times_combanks_business_loans_1yr_diff_ewma_trim_t             |    20.3651    |      0.0       |    20.2762     |       0.0       |
|               tsy_5yr_yield_div_combanks_business_loans_1yr_diff_ewma_trim_t              |    13.7255    |     0.0005     |     8.9366     |      0.0044     |
|                tsy_5yr_yield_times_combanks_assets_tot_1yr_diff_ewma_trim_t               |    17.8749    |     0.0001     |    15.8504     |      0.0002     |
|                 tsy_5yr_yield_div_combanks_assets_tot_1yr_diff_ewma_trim_t                |    16.1846    |     0.0002     |    13.7091     |      0.0005     |
|             tsy_5yr_yield_times_mortage_debt_individuals_1yr_diff_ewma_trim_t             |    15.0325    |     0.0003     |     9.6474     |      0.0032     |
|              tsy_5yr_yield_div_mortage_debt_individuals_1yr_diff_ewma_trim_t              |    18.7083    |     0.0001     |    21.3998     |       0.0       |
|                 tsy_5yr_yield_times_real_estate_loans_1yr_diff_ewma_trim_t                |    17.3504    |     0.0001     |    13.7381     |      0.0005     |
|                  tsy_5yr_yield_div_real_estate_loans_1yr_diff_ewma_trim_t                 |    16.4901    |     0.0002     |    15.7899     |      0.0002     |
|                tsy_5yr_yield_times_foreign_dir_invest_1yr_diff_ewma_trim_t                |    18.2527    |     0.0001     |     16.467     |      0.0002     |
|                 tsy_5yr_yield_div_foreign_dir_invest_1yr_diff_ewma_trim_t                 |    15.7752    |     0.0002     |     12.915     |      0.0008     |
|                 tsy_5yr_yield_times_tax_receipts_corp_1yr_diff_ewma_trim_t                |    14.5204    |     0.0004     |     9.6693     |      0.0031     |
|                  tsy_5yr_yield_div_tax_receipts_corp_1yr_diff_ewma_trim_t                 |    20.1457    |      0.0       |     22.249     |       0.0       |
|                        tsy_3mo_yield_times_unempl_rate_ewma_trim_t                        |    32.4585    |      0.0       |    23.2814     |       0.0       |
|                         tsy_3mo_yield_div_unempl_rate_ewma_trim_t                         |    39.2114    |      0.0       |    28.8291     |       0.0       |
|                       tsy_3mo_yield_times_sp500_peratio_ewma_trim_t                       |    36.7782    |      0.0       |    26.7904     |       0.0       |
|                        tsy_3mo_yield_div_sp500_peratio_ewma_trim_t                        |     36.391    |      0.0       |     26.59      |       0.0       |
|                     tsy_3mo_yield_times_capacity_util_mfg_ewma_trim_t                     |    36.5714    |      0.0       |    26.6443     |       0.0       |
|                      tsy_3mo_yield_div_capacity_util_mfg_ewma_trim_t                      |    34.7234    |      0.0       |    24.6564     |       0.0       |
|                     tsy_3mo_yield_times_capacity_util_chem_ewma_trim_t                    |    37.0133    |      0.0       |    27.0712     |       0.0       |
|                      tsy_3mo_yield_div_capacity_util_chem_ewma_trim_t                     |    36.9458    |      0.0       |    26.7114     |       0.0       |
|              tsy_3mo_yield_times_med_family_income_vs_house_price_ewma_trim_t             |    36.8601    |      0.0       |     26.97      |       0.0       |
|               tsy_3mo_yield_div_med_family_income_vs_house_price_ewma_trim_t              |    35.1378    |      0.0       |    25.3734     |       0.0       |
|                      tsy_3mo_yield_times_gdp_nom_1yr_diff_ewma_trim_t                     |    35.0668    |      0.0       |    25.2613     |       0.0       |
|                       tsy_3mo_yield_div_gdp_nom_1yr_diff_ewma_trim_t                      |    36.8413    |      0.0       |    27.0206     |       0.0       |
|                  tsy_3mo_yield_times_cpi_urb_nonvol_1yr_diff_ewma_trim_t                  |    36.0509    |      0.0       |    26.2176     |       0.0       |
|                   tsy_3mo_yield_div_cpi_urb_nonvol_1yr_diff_ewma_trim_t                   |    35.8835    |      0.0       |    26.0784     |       0.0       |
|                  tsy_3mo_yield_times_industrial_prod_1yr_diff_ewma_trim_t                 |    35.8159    |      0.0       |    25.9657     |       0.0       |
|                   tsy_3mo_yield_div_industrial_prod_1yr_diff_ewma_trim_t                  |    36.0602    |      0.0       |    26.2836     |       0.0       |
|                  tsy_3mo_yield_times_med_house_price_1yr_diff_ewma_trim_t                 |    33.4251    |      0.0       |    23.7134     |       0.0       |
|                   tsy_3mo_yield_div_med_house_price_1yr_diff_ewma_trim_t                  |    38.7091    |      0.0       |    28.8134     |       0.0       |
|                 tsy_3mo_yield_times_med_family_income_1yr_diff_ewma_trim_t                |    36.1529    |      0.0       |    26.3096     |       0.0       |
|                  tsy_3mo_yield_div_med_family_income_1yr_diff_ewma_trim_t                 |    35.8322    |      0.0       |    26.0394     |       0.0       |
|                    tsy_3mo_yield_times_unempl_rate_1yr_diff_ewma_trim_t                   |    41.3074    |      0.0       |    31.8162     |       0.0       |
|                     tsy_3mo_yield_div_unempl_rate_1yr_diff_ewma_trim_t                    |    31.3466    |      0.0       |    21.6097     |       0.0       |
|              tsy_3mo_yield_times_real_med_family_income_1yr_diff_ewma_trim_t              |    36.2032    |      0.0       |    26.3565     |       0.0       |
|               tsy_3mo_yield_div_real_med_family_income_1yr_diff_ewma_trim_t               |     35.773    |      0.0       |    25.9843     |       0.0       |
|              tsy_3mo_yield_times_combanks_business_loans_1yr_diff_ewma_trim_t             |    38.4506    |      0.0       |    28.3563     |       0.0       |
|               tsy_3mo_yield_div_combanks_business_loans_1yr_diff_ewma_trim_t              |    33.3172    |      0.0       |    23.7775     |       0.0       |
|                tsy_3mo_yield_times_combanks_assets_tot_1yr_diff_ewma_trim_t               |    36.5903    |      0.0       |    26.7243     |       0.0       |
|                 tsy_3mo_yield_div_combanks_assets_tot_1yr_diff_ewma_trim_t                |    35.2644    |      0.0       |    25.5046     |       0.0       |
|             tsy_3mo_yield_times_mortage_debt_individuals_1yr_diff_ewma_trim_t             |    30.0169    |      0.0       |    20.4734     |       0.0       |
|              tsy_3mo_yield_div_mortage_debt_individuals_1yr_diff_ewma_trim_t              |    42.8568    |      0.0       |    33.0046     |       0.0       |
|                 tsy_3mo_yield_times_real_estate_loans_1yr_diff_ewma_trim_t                |    34.5976    |      0.0       |    24.7721     |       0.0       |
|                  tsy_3mo_yield_div_real_estate_loans_1yr_diff_ewma_trim_t                 |    37.3624    |      0.0       |    27.5848     |       0.0       |
|                tsy_3mo_yield_times_foreign_dir_invest_1yr_diff_ewma_trim_t                |    36.5334    |      0.0       |    26.5876     |       0.0       |
|                 tsy_3mo_yield_div_foreign_dir_invest_1yr_diff_ewma_trim_t                 |    35.2987    |      0.0       |    25.6159     |       0.0       |
|                 tsy_3mo_yield_times_tax_receipts_corp_1yr_diff_ewma_trim_t                |    30.9324    |      0.0       |    21.3589     |       0.0       |
|                  tsy_3mo_yield_div_tax_receipts_corp_1yr_diff_ewma_trim_t                 |    42.2498    |      0.0       |    32.3192     |       0.0       |
|                     sp500_peratio_times_capacity_util_mfg_ewma_trim_t                     |     8.9376    |     0.0043     |     6.9925     |      0.011      |
|                      sp500_peratio_div_capacity_util_mfg_ewma_trim_t                      |     7.3342    |     0.0092     |     1.8616     |      0.1787     |
|                     sp500_peratio_times_capacity_util_chem_ewma_trim_t                    |     9.1681    |     0.0039     |     8.4098     |      0.0056     |
|                      sp500_peratio_div_capacity_util_chem_ewma_trim_t                     |     7.1453    |     0.0101     |     0.9157     |      0.3433     |
|              sp500_peratio_times_med_family_income_vs_house_price_ewma_trim_t             |     8.2365    |     0.006      |     4.7464     |      0.0342     |
|               sp500_peratio_div_med_family_income_vs_house_price_ewma_trim_t              |     8.0558    |     0.0065     |     4.5108     |      0.0388     |
|                      sp500_peratio_times_gdp_nom_1yr_diff_ewma_trim_t                     |     8.1575    |     0.0062     |     4.0227     |      0.0504     |
|                       sp500_peratio_div_gdp_nom_1yr_diff_ewma_trim_t                      |     8.074     |     0.0065     |     5.5227     |      0.0228     |
|                  sp500_peratio_times_cpi_urb_nonvol_1yr_diff_ewma_trim_t                  |     8.2083    |     0.0061     |     5.1309     |      0.028      |
|                   sp500_peratio_div_cpi_urb_nonvol_1yr_diff_ewma_trim_t                   |     8.0346    |     0.0066     |     4.2479     |      0.0446     |
|                  sp500_peratio_times_industrial_prod_1yr_diff_ewma_trim_t                 |     8.2247    |     0.006      |     4.2295     |      0.0451     |
|                   sp500_peratio_div_industrial_prod_1yr_diff_ewma_trim_t                  |     7.9798    |     0.0068     |     4.8652     |      0.0321     |
|                  sp500_peratio_times_med_house_price_1yr_diff_ewma_trim_t                 |     7.3633    |     0.0091     |     0.9487     |      0.3348     |
|                   sp500_peratio_div_med_house_price_1yr_diff_ewma_trim_t                  |     8.9261    |     0.0043     |     15.333     |      0.0003     |
