+---------------------------------------------------------------------------------------+--------+---------------+----------------+----------------+-----------------+
|                                          name                                         |  coef  | linreg_scores | linreg_pvalues | classif_scores | classif_pvalues |
|                 sp500_peratio_*_real_estate_loans_1yr_diff_ewma_trim_t                |  0.0   |    10.8081    |     0.0021     |    13.6523     |      0.0007     |
|               capacity_util_chem_*_med_house_price_1yr_diff_ewma_trim_t               |  0.0   |     8.5782    |     0.0057     |    13.6572     |      0.0007     |
|          med_family_income_1yr_diff_/_real_estate_loans_1yr_diff_ewma_trim_t          |  0.0   |     5.7591    |     0.0213     |    13.6955     |      0.0007     |
|                 tsy_5yr_yield_*_tax_receipts_corp_1yr_diff_ewma_trim_t                |  0.0   |    16.9004    |     0.0002     |    13.2603     |      0.0008     |
|                 gdp_nom_1yr_diff_*_cpi_urb_nonvol_1yr_diff_ewma_trim_t                |  0.0   |     7.3424    |      0.01      |    13.2531     |      0.0008     |
|          real_estate_loans_1yr_diff_*_foreign_dir_invest_1yr_diff_ewma_trim_t         |  0.0   |     8.6168    |     0.0056     |    13.3688     |      0.0008     |
|                    tsy_5yr_yield_/_unempl_rate_1yr_diff_ewma_trim_t                   |  0.0   |    17.7725    |     0.0001     |    12.9536     |      0.0009     |
|             gdp_nom_1yr_diff_/_real_med_family_income_1yr_diff_ewma_trim_t            |  0.0   |     7.1331    |     0.011      |     13.098     |      0.0009     |
|        real_med_family_income_1yr_diff_/_real_estate_loans_1yr_diff_ewma_trim_t       |  0.0   |     5.8066    |     0.0208     |     12.981     |      0.0009     |
|                   tsy_10yr_yield_/_unempl_rate_1yr_diff_ewma_trim_t                   |  0.0   |     13.612    |     0.0007     |    12.6426     |      0.001      |
|               gdp_nom_1yr_diff_*_empl_construction_1yr_diff_ewma_trim_t               |  0.0   |     8.264     |     0.0065     |    12.6622     |      0.001      |
|          med_house_price_1yr_diff_*_combanks_assets_tot_1yr_diff_ewma_trim_t          |  0.0   |     8.095     |     0.007      |    12.6859     |      0.001      |
|               equity_alloc_*_real_estate_loans_1yr_diff_ewma_trim_pow2_t              |  0.0   |    13.1533    |     0.0008     |    12.7255     |      0.001      |
|                 gdp_nom_1yr_diff_/_cpi_urb_nonvol_1yr_diff_ewma_trim_t                |  0.0   |     7.2837    |     0.0102     |     12.584     |      0.0011     |
|               gdp_nom_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t               |  0.0   |     8.1627    |     0.0068     |    12.3777     |      0.0011     |
|                  tsy_5yr_yield_*_med_house_price_1yr_diff_ewma_trim_t                 |  0.0   |    16.5623    |     0.0002     |     12.236     |      0.0012     |
|                  sp500_peratio_*_med_house_price_1yr_diff_ewma_trim_t                 |  0.0   |    10.1537    |     0.0028     |    12.1713     |      0.0012     |
|           capacity_util_chem_/_mortage_debt_individuals_1yr_diff_ewma_trim_t          |  0.0   |     5.4778    |     0.0245     |    12.3603     |      0.0012     |
|        med_house_price_1yr_diff_/_mortage_debt_individuals_1yr_diff_ewma_trim_t       |  0.0   |     5.5126    |     0.024      |    12.3492     |      0.0012     |
|                 equity_alloc_*_real_estate_loans_1yr_diff_ewma_trim_t                 |  0.0   |     9.9213    |     0.0031     |    12.0971     |      0.0013     |
